#name, z, mag, mag_err
SN372 0.4510 23.22 0.05
SN373 0.6100 23.55 0.06
SN374 0.8300 24.11 0.08
SN375 0.7070 24.13 0.08
SN376 0.4150 22.52 0.04
SN377 0.5570 22.98 0.06
SN378 0.7910 24.20 0.08
SN379 0.6950 24.03 0.08
SN380 0.6330 23.70 0.06
SN381 0.2486 21.23 0.07
SN382 0.5320 23.48 0.06
SN383 0.3310 21.81 0.04
SN384 0.3460 22.41 0.05
SN385 0.9610 24.55 0.11
SN386 0.6130 24.02 0.06
SN387 0.3402 22.09 0.04
SN388 0.9830 24.97 0.14
SN389 0.7100 24.21 0.07
SN390 0.7300 24.08 0.07
SN391 0.4700 23.51 0.05
SN392 0.6200 23.76 0.07
SN393 0.5210 23.29 0.05
SN394 0.3690 22.36 0.11
SN395 0.5710 23.19 0.07
SN396 0.6040 23.27 0.06
SN397 0.9271 24.55 0.10
SN398 0.2850 21.20 0.03
SN399 0.2912 21.96 0.06
SN400 0.5480 24.04 0.07
SN401 0.8680 24.31 0.09
SN402 0.4960 22.96 0.05
SN403 0.8110 24.36 0.08
SN404 0.7560 24.06 0.08
SN405 0.8170 24.24 0.09
SN406 0.7520 23.84 0.08
SN407 0.5516 23.46 0.05
SN408 0.3578 22.52 0.04
SN409 1.0100 24.88 0.13
SN410 0.7410 24.09 0.08
SN411 0.4300 22.81 0.05
SN412 0.5260 23.63 0.06
SN413 0.5920 23.37 0.06
SN414 0.9050 24.24 0.09
SN415 0.9490 24.47 0.10
SN416 0.4607 22.60 0.08
SN417 0.3709 22.21 0.06
SN418 0.8000 24.51 0.08
SN419 0.6790 24.09 0.08
SN420 0.5817 23.55 0.06
SN421 0.5500 23.32 0.06
SN422 0.8100 24.23 0.08
SN423 0.9500 24.51 0.10
SN424 0.3373 21.93 0.04
SN425 0.9100 24.67 0.10
SN426 0.2630 21.65 0.03
SN427 0.6430 23.78 0.07
SN428 0.6910 24.26 0.08
SN429 0.3570 22.39 0.04
SN430 0.7210 23.85 0.07
SN431 0.5810 23.32 0.06
SN432 0.6268 23.35 0.06
SN433 0.8180 24.63 0.09
SN434 0.4627 22.72 0.06
SN435 0.4490 22.54 0.06
SN436 0.6880 23.58 0.07
SN437 0.8700 24.54 0.11
SN438 0.5043 22.98 0.05
SN439 0.5910 23.40 0.10
SN440 0.4260 22.62 0.06
SN441 0.3290 22.53 0.13
SN442 0.5830 23.52 0.07
SN443 0.5190 23.64 0.08
SN444 0.4010 22.45 0.06
SN445 0.2050 21.10 0.10
SN446 0.3400 21.79 0.09
SN447 0.4360 22.46 0.06
SN448 0.3630 21.89 0.06
SN449 0.4360 22.50 0.06
SN450 0.3090 22.37 0.10
SN451 0.3420 22.09 0.06
SN452 0.1590 21.07 0.15
SN453 0.3320 22.40 0.09
SN454 0.4690 22.57 0.09
SN455 0.2390 21.77 0.07
SN456 0.3520 22.73 0.06
SN457 0.6120 23.45 0.08
SN458 0.6310 23.35 0.06
SN459 0.6450 23.32 0.08
SN460 0.4290 22.63 0.05
SN461 0.4970 22.88 0.07
SN462 0.5390 23.27 0.06
SN463 0.5610 23.10 0.07
SN464 0.4100 22.34 0.07
SN465 0.4120 22.82 0.13
SN466 0.5990 23.76 0.10
SN467 0.6190 23.44 0.07
SN468 0.4220 22.40 0.07
SN469 0.5400 23.29 0.07
SN470 0.4010 23.07 0.10
SN471 0.2180 21.39 0.09
SN472 0.6330 23.14 0.07
SN473 0.3830 22.33 0.09
SN474 0.3020 23.19 0.13
SN475 0.3400 22.26 0.08
SN476 0.5100 22.80 0.06
SN477 0.4210 23.07 0.18
SN478 0.3990 23.43 0.11
SN479 0.4930 22.96 0.08
SN480 0.6870 23.40 0.10
SN481 0.6870 23.48 0.08
SN482 0.4950 22.87 0.06
SN483 0.6030 23.47 0.07
SN484 0.4210 22.40 0.07
SN485 0.3480 22.59 0.06
SN486 0.2130 22.06 0.10
SN487 0.3440 21.71 0.06
SN488 0.2710 21.88 0.10
SN489 0.5640 22.84 0.21
SN490 0.2740 22.02 0.07
SN491 0.1810 20.37 0.11
SN492 0.5820 23.79 0.07
SN493 0.6800 23.68 0.07
SN494 0.4010 23.32 0.12
SN495 0.4160 23.91 0.11
SN496 0.2860 22.48 0.11
SN497 0.5620 23.26 0.21
SN498 0.3140 21.89 0.10
SN499 0.5810 23.24 0.09
SN500 0.4630 23.12 0.08
SN501 0.3410 21.61 0.08
SN502 0.6710 23.59 0.08
SN503 0.6310 23.35 0.06
SN504 0.5220 23.27 0.06
SN505 0.3680 21.95 0.05
SN506 0.3090 21.74 0.06
SN507 0.5280 23.27 0.11
SN508 0.2660 22.96 0.22
SN509 0.2160 21.92 0.10
SN510 0.2840 21.68 0.06
SN511 0.5080 22.93 0.07
SN512 0.7810 24.04 0.10
SN513 0.6130 23.33 0.07
SN514 0.4250 22.46 0.22
SN515 0.2780 21.69 0.07
SN516 0.4770 22.74 0.06
SN517 0.9500 24.22 0.10
SN518 1.0570 24.74 0.12
SN519 0.8160 24.17 0.10
SN520 0.4550 23.20 0.06
SN521 1.0200 24.93 0.10
SN522 1.1400 24.75 0.11
SN523 0.8540 24.55 0.08
SN524 1.3700 25.64 0.14
SN525 0.9750 24.88 0.10
SN526 0.9700 24.99 0.09
SN527 0.7400 23.95 0.07
SN528 1.3900 26.00 0.14
SN529 0.4600 23.73 0.08
SN530 1.0200 24.80 0.11
SN531 1.1200 25.09 0.11
SN532 1.1900 25.63 0.14
SN533 0.8390 24.15 0.10
SN534 1.0100 24.92 0.12
SN535 0.5210 23.08 0.07
SN536 0.4750 23.21 0.14
SN537 0.9500 24.61 0.09
SN538 1.3000 25.65 0.12
SN539 1.4000 25.65 0.31
SN540 1.3050 25.51 0.15
SN541 0.2160 22.43 0.20
SN542 0.7350 24.08 0.09
SN543 1.1400 25.37 0.12
SN544 1.3070 26.07 0.16
SN545 1.2650 25.73 0.12
SN546 0.6700 24.26 0.10
SN547 0.6400 24.31 0.07
SN548 1.3400 25.70 0.14
SN549 0.8400 24.34 0.08
SN550 0.9350 24.48 0.10
SN551 0.4900 23.02 0.30
SN552 1.2300 25.13 0.15
SN553 0.9530 24.71 0.15
SN554 1.1240 25.37 0.11
SN555 0.5520 23.08 0.09
SN556 0.5110 23.05 0.06
SN557 1.0300 24.79 0.10
